year|oshpd_id|county|facility|medi_cal|medicare|private_coverage|uninsured|other_payer|self_pay
2021|106010735|ALAMEDA|ALAMEDA HOSPITAL|5024.0|2279.0|2998.0||""|""
2021|106010739|ALAMEDA|ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS|9639.0|6530.0|9374.0||""|""
2021|106010776|ALAMEDA|UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND|20418.0|95.0|4938.0||""|""
2021|106010846|ALAMEDA|HIGHLAND HOSPITAL|39314.0|8788.0|9270.0||""|""
2021|106010937|ALAMEDA|ALTA BATES SUMMIT MEDICAL CENTER|11592.0|8625.0|6515.0||""|""
2021|106010967|ALAMEDA|ST. ROSE HOSPITAL|9290.0|2917.0|4174.0||""|""
2021|106010987|ALAMEDA|WASHINGTON HOSPITAL - FREMONT|14502.0|7890.0|11507.0||""|""
2021|106014050|ALAMEDA|STANFORD HEALTH CARE - VALLEYCARE|6542.0|5102.0|11273.0||""|""
2021|106014132|ALAMEDA|KAISER FOUNDATION HOSPITAL - FREMONT|3872.0|7857.0|19658.0||""|""
2021|106014233|ALAMEDA|EDEN MEDICAL CENTER|11487.0|6031.0|8567.0||""|""
2021|106014326|ALAMEDA|KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND|27912.0|21423.0|43915.0|8656.0|""|""
2021|106014337|ALAMEDA|KAISER FOUNDATION HOSPITAL - SAN LEANDRO|9157.0|12783.0|34036.0|3487.0|""|""
2021|106034002|AMADOR|SUTTER AMADOR HOSPITAL|8216.0|6696.0|6649.0||""|""
2021|106040802|BUTTE|ORCHARD HOSPITAL|5208.0|1613.0|1559.0||""|""
2021|106040937|BUTTE|OROVILLE HOSPITAL|4108.0|1491.0|1766.0||""|""
2021|106040962|BUTTE|ENLOE MEDICAL CENTER- ESPLANADE|21429.0|13465.0|13670.0|3399.0|""|""
2021|106050932|CALAVERAS|MARK TWAIN MEDICAL CENTER|3940.0|2934.0|2693.0||""|""
2021|106060870|COLUSA|COLUSA MEDICAL CENTER|2282.0|820.0|859.0||""|""
2021|106070924|CONTRA COSTA|CONTRA COSTA REGIONAL MEDICAL CENTER|20759.0|3915.0|7648.0||""|""
2021|106070934|CONTRA COSTA|SUTTER DELTA MEDICAL CENTER|19895.0|5571.0|7420.0||""|""
2021|106070988|CONTRA COSTA|JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS|1054.0|20653.0|16796.0||""|""
2021|106070990|CONTRA COSTA|KAISER FOUNDATION HOSPITAL - WALNUT CREEK|4562.0|18097.0|31573.0|1372.0|""|""
2021|106071018|CONTRA COSTA|JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS|2335.0|29778.0|10519.0||""|""
2021|106074017|CONTRA COSTA|SAN RAMON REGIONAL MEDICAL CENTER|2912.0|3671.0|7617.0|529.0|""|""
2021|106074097|CONTRA COSTA|KAISER FOUNDATION HOSPITAL - ANTIOCH|11638.0|12490.0|30680.0||""|""
2021|106084001|DEL NORTE|SUTTER COAST HOSPITAL|6512.0|3480.0|2830.0||""|""
2021|106090793|EL DORADO|BARTON MEMORIAL HOSPITAL|5353.0|2724.0|5900.0||""|""
2021|106090933|EL DORADO|MARSHALL MEDICAL CENTER|9374.0|6880.0|6976.0|798.0|""|""
2021|106100005|FRESNO|CLOVIS COMMUNITY MEDICAL CENTER|20380.0|9420.0|14237.0||""|""
2021|106100697|FRESNO|COALINGA REGIONAL MEDICAL CENTER|2585.0|371.0|2489.0||""|""
2021|106100717|FRESNO|COMMUNITY REGIONAL MEDICAL CENTER-FRESNO|48756.0|9158.0|8078.0||""|""
2021|106100797|FRESNO|ADVENTIST HEALTH REEDLEY|22413.0|3287.0|4777.0|1800.0|""|""
2021|106100899|FRESNO|ST. AGNES MEDICAL CENTER|31328.0|11286.0|11392.0||""|""
2021|106104062|FRESNO|KAISER FOUNDATION HOSPITAL - FRESNO|3145.0|11348.0|25556.0|1357.0|""|""
2021|106110889|GLENN|GLENN MEDICAL CENTER|2517.0|1242.0|1024.0||""|""
2021|106121002|HUMBOLDT|MAD RIVER COMMUNITY HOSPITAL|5211.0|2399.0|2877.0|621.0|""|""
2021|106121031|HUMBOLDT|JEROLD PHELPS COMMUNITY HOSPITAL|118.0|529.0|1648.0||""|""
2021|106121051|HUMBOLDT|PROVIDENCE REDWOOD MEMORIAL HOSPITAL|4376.0|2440.0|2320.0||""|""
2021|106121080|HUMBOLDT|PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA|11038.0|5560.0|5651.0||""|""
